window_days,mae_temp,mae_hum,n_samples
1,0.9886491473144424,4.5886301810740395,11020
3,0.8078793131436137,4.1273567771625075,33042
7,0.7531932148351107,3.9171354576072184,78295
14,0.7192369473480164,3.8428531120965475,146724
21,0.7186518880093223,3.82450920563282,200647
28,0.7182906475309746,3.833043105844023,255368
35,0.720527216701469,3.832562710417735,311067
